Wavelength (nm)	Light Power (W)	
400.000000	9.109225E-6
401.000000	1.229476E-5
402.000000	1.864658E-5
403.000000	2.696228E-5
404.000000	3.653098E-5
405.000000	4.643806E-5
406.000000	6.130189E-5
407.000000	6.426481E-5
408.000000	6.981728E-5
409.000000	7.337704E-5
410.000000	7.827128E-5
411.000000	9.941505E-5
412.000000	0.000114
413.000000	0.000150
414.000000	0.000170
415.000000	0.000171
416.000000	0.000160
417.000000	0.000140
418.000000	9.106185E-5
419.000000	6.657390E-5
420.000000	6.853605E-5
421.000000	7.263544E-5
422.000000	6.593608E-5
423.000000	6.950232E-5
424.000000	7.738625E-5
425.000000	8.308996E-5
426.000000	8.815601E-5
427.000000	9.228924E-5
428.000000	0.000102
429.000000	0.000113
430.000000	0.000122
431.000000	0.000123
432.000000	0.000122
433.000000	0.000125
434.000000	0.000137
435.000000	0.000140
436.000000	0.000141
437.000000	0.000155
438.000000	0.000157
439.000000	0.000155
440.000000	0.000156
441.000000	0.000171
442.000000	0.000164
443.000000	0.000156
444.000000	0.000156
445.000000	0.000151
446.000000	0.000150
447.000000	0.000170
448.000000	0.000185
449.000000	0.000168
450.000000	0.000160
451.000000	0.000178
452.000000	0.000185
453.000000	0.000170
454.000000	0.000154
455.000000	0.000162
456.000000	0.000189
457.000000	0.000211
458.000000	0.000209
459.000000	0.000195
460.000000	0.000182
461.000000	0.000169
462.000000	0.000164
463.000000	0.000164
464.000000	0.000165
465.000000	0.000165
466.000000	0.000149
467.000000	0.000122
468.000000	0.000128
469.000000	0.000164
470.000000	0.000159
471.000000	0.000122
472.000000	0.000124
473.000000	0.000167
474.000000	0.000160
475.000000	0.000126
476.000000	0.000127
477.000000	0.000144
478.000000	0.000132
479.000000	0.000134
480.000000	0.000159
481.000000	0.000149
482.000000	0.000108
483.000000	0.000121
484.000000	0.000142
485.000000	0.000118
486.000000	0.000116
487.000000	0.000135
488.000000	0.000126
489.000000	0.000115
490.000000	0.000131
491.000000	0.000141
492.000000	0.000156
493.000000	0.000161
494.000000	0.000144
495.000000	0.000148
496.000000	0.000165
497.000000	0.000170
498.000000	0.000157
499.000000	0.000155
500.000000	0.000177
501.000000	0.000208
502.000000	0.000192
503.000000	0.000185
504.000000	0.000218
505.000000	0.000236
506.000000	0.000209
507.000000	0.000174
508.000000	0.000173
509.000000	0.000170
510.000000	0.000148
511.000000	0.000142
512.000000	0.000161
513.000000	0.000190
514.000000	0.000224
515.000000	0.000262
516.000000	0.000334
517.000000	0.000369
518.000000	0.000303
519.000000	0.000257
520.000000	0.000235
521.000000	0.000176
522.000000	0.000149
523.000000	0.000145
524.000000	0.000199
525.000000	0.000265
526.000000	0.000279
527.000000	0.000310
528.000000	0.000338
529.000000	0.000311
530.000000	0.000234
531.000000	0.000172
532.000000	0.000146
533.000000	0.000161
534.000000	0.000171
535.000000	0.000227
536.000000	0.000316
537.000000	0.000284
538.000000	0.000226
539.000000	0.000225
540.000000	0.000177
541.000000	0.000162
542.000000	0.000168
543.000000	0.000202
544.000000	0.000270
545.000000	0.000275
546.000000	0.000252
547.000000	0.000251
548.000000	0.000190
549.000000	0.000153
550.000000	0.000154
551.000000	0.000172
552.000000	0.000233
553.000000	0.000271
554.000000	0.000280
555.000000	0.000281
556.000000	0.000233
557.000000	0.000188
558.000000	0.000184
559.000000	0.000205
560.000000	0.000252
561.000000	0.000278
562.000000	0.000255
563.000000	0.000252
564.000000	0.000206
565.000000	0.000166
566.000000	0.000171
567.000000	0.000186
568.000000	0.000229
569.000000	0.000250
570.000000	0.000237
571.000000	0.000222
572.000000	0.000191
573.000000	0.000160
574.000000	0.000169
575.000000	0.000201
576.000000	0.000260
577.000000	0.000278
578.000000	0.000286
579.000000	0.000259
580.000000	0.000209
581.000000	0.000189
582.000000	0.000182
583.000000	0.000211
584.000000	0.000259
585.000000	0.000264
586.000000	0.000253
587.000000	0.000233
588.000000	0.000192
589.000000	0.000186
590.000000	0.000193
591.000000	0.000289
592.000000	0.000291
593.000000	0.000293
594.000000	0.000281
595.000000	0.000271
596.000000	0.000271
597.000000	0.000278
598.000000	0.000298
599.000000	0.000324
600.000000	0.000342
601.000000	0.000358
602.000000	0.000361
603.000000	0.000356
604.000000	0.000341
605.000000	0.000328
606.000000	0.000331
607.000000	0.000335
608.000000	0.000356
609.000000	0.000379
610.000000	0.000394
611.000000	0.000407
612.000000	0.000407
613.000000	0.000398
614.000000	0.000379
615.000000	0.000361
616.000000	0.000357
617.000000	0.000369
618.000000	0.000396
619.000000	0.000415
620.000000	0.000426
621.000000	0.000437
622.000000	0.000446
623.000000	0.000459
624.000000	0.000473
625.000000	0.000515
626.000000	0.000490
